series_id,game_id,team,opponent
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,NRG,G2 Esports
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,G2 Esports,NRG
2843071,3813a227-e766-4fa0-ad23-3eb7c5af677c,NRG,G2 Esports
2843071,3813a227-e766-4fa0-ad23-3eb7c5af677c,G2 Esports,NRG
2843071,26249bcf-dee9-42e2-97c0-80f09e12e079,NRG,G2 Esports
2843071,26249bcf-dee9-42e2-97c0-80f09e12e079,G2 Esports,NRG
2843070,5e39f7df-7f4b-4741-a010-d64e13b4f68b,NRG,Sentinels
2843070,5e39f7df-7f4b-4741-a010-d64e13b4f68b,Sentinels,NRG
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,NRG,Sentinels
2843070,33416277-2ec6-4e6c-b2ee-4385085a783e,Sentinels,NRG
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,NRG,Sentinels
2843070,4e4ff92d-5e0a-4acc-b579-6d30e22971ca,Sentinels,NRG
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,NRG,Sentinels
2843070,ed34a2f5-cb2e-496d-a3d8-352fab5921be,Sentinels,NRG
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,Cloud9,NRG
2843069,3495b77b-68ee-4ea1-acfc-7b9213dd05ff,NRG,Cloud9
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,Cloud9,NRG
2843069,ab6834ac-897d-4ad9-93aa-700b0197676e,NRG,Cloud9
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,Cloud9,NRG
2843069,876e4568-70c5-48f5-b555-9a4bb688df4a,NRG,Cloud9
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,NRG,Leviatán Esports
2843067,ff9dc015-1241-43d3-a544-d69555007ffe,Leviatán Esports,NRG
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,NRG,Leviatán Esports
2843067,9d9a463e-b95f-4f39-8cf9-8bdc57e190d1,Leviatán Esports,NRG
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,G2 Esports,NRG
2843063,8fa1d515-4d32-49a6-85cf-c3dfafc116f5,NRG,G2 Esports
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,G2 Esports,NRG
2843063,38277aa2-5b46-4661-aec7-1638b4bbc72b,NRG,G2 Esports
2843063,43789a39-4eba-4d31-80c5-633bcb949841,G2 Esports,NRG
2843063,43789a39-4eba-4d31-80c5-633bcb949841,NRG,G2 Esports
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,KRÜ Esports,NRG
2819700,beef7cc9-5aa7-42c9-b1aa-02a1655a7ef1,NRG,KRÜ Esports
2819700,7cf1796b-377f-44b8-ae2e-b6d4b6a9333e,KRÜ Esports,NRG
2819700,7cf1796b-377f-44b8-ae2e-b6d4b6a9333e,NRG,KRÜ Esports
2819700,7331feef-35e0-47e9-a06e-6ae3a99eee20,KRÜ Esports,NRG
2819700,7331feef-35e0-47e9-a06e-6ae3a99eee20,NRG,KRÜ Esports
