player_name,map_name,position_x,position_y
skuba,bind,11093.6074,-5108.875
brawk,bind,9794.03,-5730.98535
Ethan,bind,11546.71,-5582.56934
s0m,bind,9057.99707,-3720.82349
mada,bind,8775.20312,-3538.56152
JAWGEMO,bind,8358.75391,-4517.33154
trent,bind,11256.3008,-3652.33667
valyn,bind,11820.208,-5757.99561
JonahP,bind,11882.5391,-4277.62646
leaf,bind,9842.19434,-4347.40674
skuba,lotus,6454.91797,-4956.24854
brawk,lotus,7167.13379,-4013.24365
Ethan,lotus,6617.67139,-1736.81201
s0m,lotus,7142.9873,-1755.25427
mada,lotus,7002.75537,-3929.9729
JAWGEMO,lotus,7456.79785,-4231.7876
trent,lotus,5631.34326,-5041.97705
valyn,lotus,5497.85742,-3150.65161
JonahP,lotus,7065.27051,-3619.74097
leaf,lotus,4548.35645,-3942.08374
skuba,ascent,4401.75781,-7148.77832
brawk,ascent,5780.91406,-8099.90137
Ethan,ascent,5391.21826,-6237.70459
s0m,ascent,5145.00293,-6864.84277
mada,ascent,5335.89844,-7284.31689
JAWGEMO,ascent,6451.47559,-7367.21
trent,ascent,5334.14307,-7324.7207
valyn,ascent,6017.61914,-7796.58936
JonahP,ascent,5306.10107,-6910.73877
leaf,ascent,5107.72314,-6058.09082
skuba,lotus,6551.15,6041.51172
brawk,lotus,6476.51514,3572.46704
Ethan,lotus,7455.66895,4339.51025
s0m,lotus,7280.48584,-4591.41846
mada,lotus,5162.47266,-3855.64526
bang,lotus,7059.56836,5977.81201
Zellsis,lotus,5972.57227,-3918.8103
zekken,lotus,7717.03467,6511.13477
johnqt,lotus,6415.93066,-4754.28418
N4RRATE,lotus,7412.57129,5208.60352
skuba,icebox,1795.59094,-687.013794
brawk,icebox,1196.99744,48.9230118
Ethan,icebox,2409.37964,-193.693192
s0m,icebox,1504.71863,-59.0952263
mada,icebox,2381.19678,144.249756
bang,icebox,3001.11,219.380646
Zellsis,icebox,1729.00134,1420.10657
zekken,icebox,2796.03516,879.798523
johnqt,icebox,2387.98804,3440.47876
N4RRATE,icebox,1387.77368,1246.77417
skuba,sunset,1458.00745,-3441.99854
brawk,sunset,578.292908,-4858.29346
Ethan,sunset,195.029572,-4980.67676
s0m,sunset,2127.1438,-4709.46387
mada,sunset,1996.95764,-3627.13623
bang,sunset,-66.7504044,-4075.58984
Zellsis,sunset,967.536865,-5146.3916
zekken,sunset,1520.66211,-4069.92651
johnqt,sunset,1333.55212,-5133.35449
N4RRATE,sunset,1052.25793,-5043.89453
skuba,corrode,1904.48889,-1218.4812
