player_name,map_name,entry_attempts,entry_success_rate
BABYBAY,bind,1,0.0
BABYBAY,corrode,1,0.0
BABYBAY,sunset,1,1.0
C0M,ascent,1,0.0
C0M,icebox,1,0.0
Dantedeu5,haven,1,0.0
Dantedeu5,lotus,1,0.0
Dantedeu5,sunset,1,0.0
Ethan,ascent,2,0.0
Ethan,bind,2,0.5
Ethan,corrode,3,0.3333333333333333
Ethan,haven,2,0.0
Ethan,icebox,2,0.0
Ethan,lotus,4,0.0
Ethan,sunset,3,0.3333333333333333
JAWGEMO,ascent,1,0.0
JAWGEMO,bind,2,0.0
JAWGEMO,corrode,1,0.0
JAWGEMO,lotus,1,0.0
JAWGEMO,sunset,1,0.0
JonahP,ascent,1,0.0
JonahP,bind,2,0.0
JonahP,corrode,1,0.0
JonahP,lotus,1,0.0
JonahP,sunset,1,0.0
Mazino,haven,1,0.0
Mazino,lotus,1,0.0
Mazino,sunset,1,0.0
Melser,haven,1,0.0
Melser,lotus,1,0.0
Melser,sunset,1,0.0
N4RRATE,corrode,1,0.0
N4RRATE,icebox,1,0.0
N4RRATE,lotus,1,1.0
N4RRATE,sunset,1,1.0
OXY,corrode,1,0.0
OXY,haven,1,0.0
OXY,lotus,1,0.0
Sato,ascent,1,1.0
Sato,icebox,1,0.0
Shyy,haven,1,0.0
Shyy,lotus,1,0.0
Shyy,sunset,1,0.0
Xeppaa,corrode,1,0.0
Xeppaa,haven,1,0.0
Xeppaa,lotus,1,0.0
Zellsis,corrode,1,0.0
Zellsis,icebox,1,0.0
Zellsis,lotus,1,0.0
Zellsis,sunset,1,0.0
bang,corrode,1,0.0
bang,icebox,1,0.0
bang,lotus,1,0.0
bang,sunset,1,0.0
brawk,ascent,2,0.5
brawk,bind,2,0.0
brawk,corrode,3,0.0
brawk,haven,2,0.0
brawk,icebox,2,0.5
brawk,lotus,4,0.5
brawk,sunset,3,0.0
johnqt,corrode,1,0.0
johnqt,icebox,1,0.0
johnqt,lotus,1,0.0
johnqt,sunset,1,0.0
keznitdeuS,haven,1,1.0
keznitdeuS,lotus,1,0.0
keznitdeuS,sunset,1,0.0
kiNgg,ascent,1,0.0
kiNgg,icebox,1,0.0
leaf,ascent,1,0.0
leaf,bind,1,0.0
leaf,lotus,1,0.0
mada,ascent,2,0.0
mada,bind,2,0.0
mada,corrode,3,0.0
mada,haven,2,0.0
mada,icebox,2,0.0
mada,lotus,4,0.0
mada,sunset,3,0.0
mitch,corrode,1,0.0
mitch,haven,1,0.0
mitch,lotus,1,0.0
neT,corrode,1,0.0
neT,haven,1,1.0
neT,lotus,1,0.0
okeanos,ascent,1,0.0
okeanos,icebox,1,0.0
s0m,ascent,2,0.0
s0m,bind,2,0.0
s0m,corrode,3,0.0
s0m,haven,2,0.0
s0m,icebox,2,0.0
s0m,lotus,4,0.0
s0m,sunset,3,0.0
skuba,ascent,2,0.0
skuba,bind,2,0.0
skuba,corrode,3,0.3333333333333333
skuba,haven,2,0.0
skuba,icebox,2,0.5
skuba,lotus,4,0.25
skuba,sunset,3,0.0
tex,ascent,1,0.0
tex,icebox,1,0.0
trent,ascent,1,0.0
trent,bind,2,0.0
trent,corrode,1,0.0
trent,lotus,1,0.0
trent,sunset,1,0.0
v1c,corrode,1,0.0
v1c,haven,1,0.0
v1c,lotus,1,0.0
valyn,ascent,1,0.0
valyn,bind,2,0.5
valyn,corrode,1,1.0
valyn,lotus,1,0.0
valyn,sunset,1,0.0
zekken,corrode,1,0.0
zekken,icebox,1,0.0
zekken,lotus,1,0.0
zekken,sunset,1,0.0
