player_id,nickname,segment_type,count,deaths_sum,deaths_min,deaths_max,deaths_avg
290,Victor,,0,0,0,0,0.0
292,Marved,,0,0,0,0,0.0
297,Ethan,round,863,575,0,1,0.6662804171494786
312,skuba,round,863,522,0,1,0.6048667439165701
556,Bonkar,,0,0,0,0,0.0
2340,s0m,round,796,550,0,1,0.6909547738693468
2358,mada,round,863,609,0,1,0.7056778679026651
2513,brawk,round,863,541,0,1,0.626882966396292
2794,keiko,round,544,373,0,1,0.6856617647058824
2888,Chet,,0,0,0,0,0.0
11331,Mikes,,0,0,0,0,0.0
12049,ethos,,0,0,0,0,0.0
74432,FNS,,0,0,0,0,0.0
141603,Ry,,0,0,0,0,0.0
