series_id,game_id,sequence_number,map_name,team,player_id,player_name,agent,kills,deaths,assists,first_kill,money,loadout_value,net_worth,position_x,position_y
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,NRG,312,skuba,viper,18,13,6,False,1700,1000,2700,11093.6074,-5108.875
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,NRG,2513,brawk,fade,17,16,8,False,2200,1300,3500,9794.03,-5730.98535
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,NRG,297,Ethan,kay/o,18,15,12,True,100,1250,1350,11546.71,-5582.56934
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,NRG,2340,s0m,brimstone,16,18,13,False,2050,1650,3700,9057.99707,-3720.82349
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,NRG,2358,mada,raze,14,18,7,False,200,800,1000,8775.20312,-3538.56152
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,G2 Esports,2347,JAWGEMO,yoru,18,16,2,False,0,750,750,8358.75391,-4517.33154
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,G2 Esports,2353,trent,tejo,16,17,2,False,200,900,1100,11256.3008,-3652.33667
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,G2 Esports,2349,valyn,brimstone,15,15,15,False,50,3850,3900,11820.208,-5757.99561
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,G2 Esports,2351,JonahP,fade,16,16,9,False,0,3150,3150,11882.5391,-4277.62646
2843071,6f60e56d-c430-4857-9b97-33a5700ad54d,1,bind,G2 Esports,1192,leaf,deadlock,15,19,5,False,50,800,850,9842.19434,-4347.40674
2843071,3813a227-e766-4fa0-ad23-3eb7c5af677c,2,lotus,NRG,312,skuba,viper,17,13,6,True,800,1300,2100,6454.91797,-4956.24854
2843071,3813a227-e766-4fa0-ad23-3eb7c5af677c,2,lotus,NRG,2513,brawk,vyse,8,16,5,False,3600,1000,4600,7167.13379,-4013.24365
2843071,3813a227-e766-4fa0-ad23-3eb7c5af677c,2,lotus,NRG,297,Ethan,fade,13,16,5,False,200,1300,1500,6617.67139,-1736.81201
2843071,3813a227-e766-4fa0-ad23-3eb7c5af677c,2,lotus,NRG,2340,s0m,omen,16,15,7,False,200,1550,1750,7142.9873,-1755.25427
2843071,3813a227-e766-4fa0-ad23-3eb7c5af677c,2,lotus,NRG,2358,mada,raze,13,19,4,False,2400,1500,3900,7002.75537,-3929.9729
2843071,3813a227-e766-4fa0-ad23-3eb7c5af677c,2,lotus,G2 Esports,2347,JAWGEMO,yoru,17,15,1,False,1150,1500,2650,7456.79785,-4231.7876
2843071,3813a227-e766-4fa0-ad23-3eb7c5af677c,2,lotus,G2 Esports,2353,trent,tejo,15,13,5,False,2400,4500,6900,5631.34326,-5041.97705
